80,80
3,75 69,32
5,0 46,72
50,30 47,13
4,37 3,46
0,16 42,60
8,53 30,19
29,11 67,14
75,34 47,6
45,21 11,68
73,13 44,41
51,51 40,58
20,46 27,0
31,50 27,11
19,80 5,31
74,26 70,37
39,14 69,80
49,39 15,74
78,19 64,42
70,35 24,3
73,3 52,78
80,40 70,71
13,62 65,39
70,39 0,1
21,80 78,68
17,36 31,64
0,3 23,31
77,45 21,47
75,45 3,2
40,21 15,6
63,13 12,61
75,0 28,7
62,75 72,74
49,5 50,11
70,4 53,54
65,44 41,23
33,54 35,4
46,54 41,60
43,14 49,47
39,57 69,54
2,61 75,47
3,49 41,3
10,18 2,10
71,21 7,55
49,39 76,6
34,13 76,65
27,50 4,4
16,1 5,9
57,67 42,60
70,67 27,19
43,20 21,27
23,39 47,7
35,38 80,0
9,74 20,35
5,66 13,45
47,15 49,7
9,71 0,36
43,65 70,13
56,13 46,65
71,41 2,28
14,47 50,64
23,62 80,24
10,36 48,13
21,33 36,54
65,64 47,12
51,37 28,14
17,73 67,21
74,49 70,26
25,23 59,30
0,25 71,64
80,51 13,46
47,13 62,66
21,14 73,72
54,60 21,57
9,8 12,68
14,80 28,41
5,68 20,3
5,3 69,53
40,14 5,40
49,79 41,44
49,24 11,28
45,61 54,25
70,37 21,2
71,73 13,40
24,0 20,52
79,44 21,78
77,13 18,22
51,70 18,17
15,27 62,32
68,70 64,13
12,6 64,37
5,79 21,5
35,19 69,70
57,72 6,78
21,14 12,62
25,33 80,9
53,63 58,75
46,16 42,80
71,45 61,14
57,43 11,13
36,69 57,64
54,15 80,50
12,72 57,5
2,41 78,27
46,80 20,17
22,30 71,37
36,30 48,33
32,55 24,50
34,69 24,52
16,4 42,8
7,33 71,16
76,78 68,66
47,56 68,44
32,51 78,72
12,0 6,67
71,79 19,50
15,53 64,48
57,48 70,23
22,22 14,59
7,20 12,12
14,5 54,68
61,69 74,22
75,32 34,19
11,3 24,26
28,79 51,76
43,72 50,2
1,33 69,13
54,34 63,33
45,27 27,7
27,71 14,5
51,69 34,16
33,61 8,34
80,40 28,22
50,25 10,48
47,77 46,30
12,35 24,18
6,25 74,26
22,56 53,70
62,20 18,45
8,37 16,54
38,17 60,52
4,3 26,73
1,7 79,74
4,59 21,27
19,17 74,1
80,17 8,27
38,62 54,38
31,75 28,33
72,38 39,46
10,4 38,51
0,30 22,66
19,67 59,30
57,51 61,62
50,14 77,24
54,77 7,27
50,39 74,46
44,60 56,56
4,37 1,28
70,7 32,51
70,31 51,71
72,36 59,76
34,20 44,23
4,42 11,7
65,51 3,63
60,43 5,38
68,16 46,57
17,66 63,77
69,65 20,71
0,21 2,69
78,43 61,77
9,12 33,32
26,75 31,18
58,38 44,68
14,79 57,4
44,40 79,51
15,66 51,64
72,14 48,57
39,14 53,42
42,18 78,37
74,30 64,19
34,3 35,79
37,51 12,78
44,67 15,8
6,1 66,55
28,22 42,12
62,61 61,66
27,1 73,43
22,57 32,25
72,48 43,4
57,14 78,48
59,25 5,0
49,26 51,35
26,64 21,37
73,18 18,72
66,3 61,48
51,31 39,73
41,67 29,61
55,2 53,28
50,51 40,14
65,57 73,52
60,44 28,62
74,61 36,7
18,76 43,1
75,45 7,34
51,47 9,14
69,79 19,48
53,3 44,64
33,14 0,20
43,4 74,20
62,31 52,27
30,28 52,46
4,8 71,2
45,79 59,52
66,61 45,44
23,60 76,34
68,7 60,33
1,40 57,28
60,53 26,77
46,18 37,50
56,18 25,1
8,5 22,32
32,25 52,17
52,57 23,50
74,7 77,54
48,50 9,16
7,21 21,45
55,76 7,30
14,8 19,72
25,32 24,51
0,47 65,80
37,25 39,63
16,53 79,74
40,40 36,65
66,51 59,22
26,4 74,16
42,79 58,72
78,60 69,52
37,19 25,46
67,35 58,41
66,6 75,39
1,72 35,30
47,58 43,12
66,32 53,63
1,52 70,69
56,44 38,46
39,78 3,23
10,26 78,29
44,60 1,77
3,18 1,59
72,79 29,46
46,44 43,65
