10000
RDULJNMFWNHEHV|ZHQVWGHXAIEYFY
JHE|TRB
NXYLWHCXIIAANNDV|YNYTRMFJWKCCSKFP
BAFGSGXL|NCCHMOZX
JXUI|ZTGD
UVFDBEJ|KMDHDQH
PUWTLH|RNANKH
RCNJBCTNTDHD|LBCDSZPGTFRP
NCHDRJXITMEYIWNVM|XQRFLFLFNCCWIBGYL
RSOKEMMPAWCNRSVKJM|MDTSGITSSUTLABEMRJ
PQMQMTJRQJYEPMAZRZ|ETCQSZTSOCXWPHZLPT
IMFRSYLLOIVRY|UFDJHIGBHMWEG
OLXWUYAPUXO|FGQREXBKQKP
HPMKNIKAAIBVEEZYTOHX|VVWOCXJHMPYVTNCVUNTV
G|N
WVROT|JYISM
YSGNVTHVBAXXBONYOUJY|CEDDIPIGAUVIMYDXKKIO
HMZNOAOIHZ|NKZKADIOAQ
D|W
VVGZECZULG|TSFMDEQLEP
WWTICY|YCCUMO
JRSKJYSO|KRKOTARQ
HVQTY|WDTMF
RUVDYN|PKPDFX
QGAUG|YXNZP
JMBZY|PVLXV
UXKNFVOUTO|MMWMMNHHGM
JANJ|RTJL
XVITKSORRD|CLIRQHTRHS
DGWS|RGTU
GDBNBBWBFEIRFHWMALZ|JNUYRGIWMJEMJWDBXBL
ZCAQO|ACACH
KYQLJLYRLWVTMDEJWJOP|HJUHHBKPDZNXNRJUUCCW
NQSNPIYUTXOW|BDUJCCHZOYPW
LQQ|TRC
FRSQO|QDPOE
HEJKMDDWUXOSNRHDXB|LPZGVADPACETARIQUV
CRB|SJX
NSVDJNEDQWBGRVCYJOG|OVGAZGBDFNOYTKQWOJW
WTZSZLFRFGSGQEKZ|PDSSEBRDQIQNSKHQ
XRMNPO|FBLUXQ
D|U
PSR|WGB
YYKPD|TDARY
QCEMEHKSX|BSQBOGRHE
JZSYF|NAKPS
WXC|JBE
ZUFBCFOWDEIQPDMGJ|WDSOABKQTDSRAKTGO
HPPMPPEV|XVURXFEU
DEY|QQA
