3
24
171
O,18,19,10
B,18,10,11
A,6,7,10
O,11,6,18
O,18,4,11
O,11,14,2
F,11,2,8
O,3,11,11
A,12,16,18
G,18,1,6
G,1,20,11
O,20,19,12
A,8,9,20
G,16,11,1
G,6,7,14
F,13,20,10
F,20,21,12
B,13,14,1
A,7,11,11
K,15,9,6
A,11,9,10
F,9,17,17
M,7,8,20
A,14,18,22
G,21,20,4
B,13,1,8
F,9,13,10
G,12,17,2
O,1,7,17
F,10,22,22
G,21,6,21
O,13,8,22
B,12,18,22
O,11,6,12
G,15,22,13
A,2,15,21
M,1,19,3
K,11,20,8
G,1,18,7
M,8,4,17
G,21,6,5
A,6,17,11
K,12,15,6
K,19,4,7
A,4,21,16
A,19,1,18
G,9,19,21
M,16,3,6
G,18,9,11
O,16,8,20
G,11,11,5
A,5,21,20
B,19,20,19
A,18,6,14
F,3,1,20
O,22,7,9
O,19,11,19
G,12,7,5
O,22,19,2
G,10,11,10
M,8,10,6
K,10,11,22
G,17,5,1
B,9,12,22
F,20,19,19
O,7,20,20
G,16,19,22
B,18,10,19
G,8,11,19
F,16,4,21
A,20,6,5
M,2,1,9
B,21,1,6
B,7,8,15
G,10,6,13
O,10,18,8
F,12,10,18
A,6,6,4
M,14,16,4
F,3,2,21
M,20,21,1
M,22,21,15
G,3,10,5
B,15,20,1
K,1,11,19
G,18,14,10
A,1,10,18
M,17,1,9
B,11,13,10
O,21,1,3
G,1,19,12
A,6,11,13
G,13,2,9
O,4,12,2
F,20,10,1
A,9,6,2
G,5,21,8
F,13,12,20
O,19,2,14
G,4,14,2
O,21,9,7
G,21,18,7
F,6,7,19
M,10,18,12
F,18,7,20
M,7,15,5
K,5,5,14
K,20,22,1
K,10,4,16
F,6,3,11
A,22,17,12
O,18,13,17
M,21,3,14
B,14,22,14
M,16,14,7
A,7,4,1
O,9,10,10
A,16,15,8
G,4,20,15
G,22,13,1
O,9,19,4
M,4,13,17
K,17,14,12
B,16,1,11
K,12,19,21
A,5,15,21
M,19,5,11
F,1,9,15
O,6,14,12
G,18,3,4
O,21,15,22
O,19,17,9
